'election law',https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4459251,4459251," If You’re Not Scared, You Haven’t Been Paying Attention: Trump, die Radikalisierung der GOP und die Zukunft der US-amerikanischen Demokratie nach den Halbzeitwahlen 2022 (If You’re Not Scared, You Haven’t Been Paying Attention: Trump, the Radicalization of the GOP, and the Future of US Democracy after the Midterms 2022) ","Stengel, Frank A. 2023. ""If You’re Not Scared, You Haven’t Been Paying Attention: Trump, die Radikalisierung der GOP und die Zukunft der US-amerikanischen Demokratie nach den Halbzeitwahlen 2022."" Östereichische Zeitschrift für Politikwissenschaft 52 (1): 32-58. https://doi.org/10.15203/ozp.4066.vol",27,Posted: 22 Jun 2023,None,Frank A. Stengel ,Kiel University,4,"Keywords: Donald J. Trump, Trumpism, democracy, democratic regression, American politics, USA, rule of law,  ..."
'election law',https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4490967,4490967, Age Is not Just a Number in Law: Ghana’s Laws on Age ,none listed,17,Posted: 06 Jul 2023,None,Mark Addey and Kirk Matthew Chobbah ,"University of Professional Studies, Accra (UPSA) and University of Professional Studies, Accra (UPSA) - University of Professional Studies, UPSA Law School",3,"Keywords: age inconsistencies, jurisdiction, discrimination, contractual and employment age, election age,  ..."
'election law',https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4500192,4500192," Citizens for Responsibility and Ethics in Washington v. American Action Network, Inc. - Amicus Brief for the D.C. Circuit ",none listed,55,Posted: 12 Jul 2023,None,Randy Elf ,Independent,3,"Keywords: Campaign Finance, PAC, Disclosure, Major Purpose, Major-Purpose Test, Major Purpose Test, Small  ..."
search term,SSRN Abstract URL,SSRN Article id,Article Title,Article Citation,Number of pages,Posted date,Last Revised,Authors,Affiliations,SSRN Downloads,Keywords
'felon disenfranchisement',,,,,,,,,,,
search term,SSRN Abstract URL,SSRN Article id,Article Title,Article Citation,Number of pages,Posted date,Last Revised,Authors,Affiliations,SSRN Downloads,Keywords
'election law',https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4486258,4486258, The Phantasm of Principle ,"Kentucky Law Journal, Vol. 111, 2023",43,Posted: 26 Jun 2023,Last Revised: 17 Jul 2023,Wilfred U. Codrington III ,Brooklyn Law School,38,"Keywords: Election Law, Constitutional Law, Constitutional Theory, Redistricting, Gerrymandering, Race,  ..."
'election law',https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4494650,4494650, Can You Be a Legal Ethics Scholar and Have Guts? ,"Georgetown Journal of Legal Ethics, Vol. 35, No. 3, 2022, Brooklyn Law School, Legal Studies Paper No. 745",34,Posted: 30 Jun 2023,None,"Cynthia Godsoe , Abbe Smith and Ellen Yaroshefsky ","Brooklyn Law School, Georgetown University Law Center and Hofstra University - Maurice A. Deane School of Law",29,"Keywords: ethics, model rules of professional conduct, lawyer discipline, prosecutorial misconduct, legal  ..."
'election law',https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4503606,4503606, Associational Party-Building: A Path to Rebuilding Democracy ,"Drexel University Thomas R. Kline School of Law Research Paper Series, Columbia Law Review, Vol. 122, No. 7, 2022",50,Posted: 11 Jul 2023,None,Tabatha Abu El-Haj and Didi Kuo ,"Drexel University Thomas R. Kline School of LawThomas R. Kline School of Law, Drexel University and Harvard University",18,"Keywords: political parties, primaries, election law, 2020 election"
'election law',https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4513285,4513285, Travel Bans: Mormons and Muslims ,William & Mary Law School Research Paper No. 09-472,16,Posted: 19 Jul 2023,None,Nathan B. Oman ,William & Mary Law School,12,"Keywords: Islam, Mormon, Muslim, Latter-day Saint, immigration, Trump, polygamy, travel ban"
'election law',https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4503696,4503696, The Presidential Form of Government in Argentina and Chile ,none listed,10,Posted: 17 Jul 2023,None,Francesco Duranti ,Università per Stranieri di Perugia - University for Foreigners of Perugia (Italy),6,"Keywords: Comparative Constitutional Law, Comparative Constitutionalism in Latin America, Presidentialism,  ..."
'election law',https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4459251,4459251," If You’re Not Scared, You Haven’t Been Paying Attention: Trump, die Radikalisierung der GOP und die Zukunft der US-amerikanischen Demokratie nach den Halbzeitwahlen 2022 (If You’re Not Scared, You Haven’t Been Paying Attention: Trump, the Radicalization of the GOP, and the Future of US Democracy after the Midterms 2022) ","Stengel, Frank A. 2023. ""If You’re Not Scared, You Haven’t Been Paying Attention: Trump, die Radikalisierung der GOP und die Zukunft der US-amerikanischen Demokratie nach den Halbzeitwahlen 2022."" Östereichische Zeitschrift für Politikwissenschaft 52 (1): 32-58. https://doi.org/10.15203/ozp.4066.vol",27,Posted: 22 Jun 2023,None,Frank A. Stengel ,Kiel University,4,"Keywords: Donald J. Trump, Trumpism, democracy, democratic regression, American politics, USA, rule of law,  ..."
'election law',https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4490967,4490967, Age Is not Just a Number in Law: Ghana’s Laws on Age ,none listed,17,Posted: 06 Jul 2023,None,Mark Addey and Kirk Matthew Chobbah ,"University of Professional Studies, Accra (UPSA) and University of Professional Studies, Accra (UPSA) - University of Professional Studies, UPSA Law School",3,"Keywords: age inconsistencies, jurisdiction, discrimination, contractual and employment age, election age,  ..."
'election law',https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4500192,4500192," Citizens for Responsibility and Ethics in Washington v. American Action Network, Inc. - Amicus Brief for the D.C. Circuit ",none listed,55,Posted: 12 Jul 2023,None,Randy Elf ,Independent,3,"Keywords: Campaign Finance, PAC, Disclosure, Major Purpose, Major-Purpose Test, Major Purpose Test, Small  ..."
search term,SSRN Abstract URL,SSRN Article id,Article Title,Article Citation,Number of pages,Posted date,Last Revised,Authors,Affiliations,SSRN Downloads,Keywords
'felon disenfranchisement',no results,no results,no results,no results,no results,no results,no results,no results,no results,no results,no results
search term,SSRN Abstract URL,SSRN Article id,Article Title,Article Citation,Number of pages,Posted date,Last Revised,Authors,Affiliations,SSRN Downloads,Keywords
'election law',https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4534293,4534293, ביקורת שיפוטית על הרפורמה המשפטית Judicial Review of the Israeli Legal Reform ,"Forthcoming, University of Tel-Aviv Law Review Forum, Vol. 48, 2023",37,Posted: 09 Aug 2023,Last Revised: 16 Aug 2023,Lucian A. Bebchuk and Barak Medina ,Harvard Law School and Hebrew University of Jerusalem - Faculty of Law,139,"Keywords: Judicial review, Israeli legal reform"
'election law',https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4513285,4513285, Travel Bans: Mormons and Muslims ,William & Mary Law School Research Paper No. 09-472,16,Posted: 19 Jul 2023,None,Nathan B. Oman ,William & Mary Law School,36,"Keywords: Islam, Mormon, Muslim, Latter-day Saint, immigration, Trump, polygamy, travel ban"
'election law',https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4527524,4527524, Explaining ESSA: A Proposal to Protect the Surviving Spouses of New York ," 56 NYSBA TRUSTS AND ESTATES J. No. 2  (2023, v. 56, No. 2)",6,Posted: 02 Aug 2023,None,Albert Feuer and Anna Masilela ,Law Offices of Albert Feuer and Independent,30,"Keywords: Retirement plan, profit-sharing plan, pension plan, savings plan, retirees, equity, ERISA, REACT,  ..."
'election law',https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4521822,4521822, Systematic Stewardship: It's Up to the Shareholders a Response to Profs. Kahan and Rock ,Columbia Law and Economics Working Paper No. 666,9,Posted: 08 Aug 2023,None,Jeffrey N. Gordon ,Columbia Law School,21,"Keywords: corporate governance, systematic stewardship, systematic risk, single-firm focus, climate change"
'election law',https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4524687,4524687, Felony Disenfranchisement and Voting Rights Restoration in the States ,"Nevada Law Journal, Vol. 22, No. 3, 2022",38,Posted: 01 Aug 2023,None,Manoj Mate ,DePaul University - College of Law,19,"Keywords: Felony Disenfranchisement, Voting Rights, Election Law, Constitutional Law"
'election law',https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4516032,4516032," How Dependable is World Continental Covid-19 Data? Disclosure of Inconsistencies in Daily Reportage Confirmed Cases, Recovered and Deaths During First Wave ",none listed,15,Posted: 26 Jul 2023,None,"Edmund Fosu Agyemang , Joseph Agyapong Mensah and Eric Nyarko ","Ashesi University College, Ashesi University College and University of Ghana",16,"Keywords: COVID-19, Benford's Law, first-digits, World Continents, Kolmogorov-Smirnov test"
'election law',https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4530709,4530709, The Lawyer-Hero: Lessons in Leadership from Watergate to the Present Day ,54 University of Toledo Law Review 359 (2023),28,Posted: 15 Aug 2023,None,"Paula A. Franzese , Eugene D. Mazo and Lawrence Spinelli ","Seton Hall Law School, Duquesne University School of Law and Government of the United States of America - Overseas Private Investment Corporation (OPIC)",12,"Keywords: leadership, Watergate, civic reinvention, lawyers-leaders, Peter Rodino, restoring public trust,  ..."
'election law',https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4524617,4524617, Systematic Stewardship: It's Up to the Shareholders -- A Response to Profs. Kahan and Rock ,"Journal of Corporation Law, Forthcoming ",7,Posted: 01 Aug 2023,None,Jeffrey N. Gordon ,Columbia Law School,21,"Keywords: corporate governance, stewardship, climate change, systematic risk, single-firm focus"
'election law',https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4516356,4516356, Analysis of Down Falling Causes of Pakistan Economy ,none listed,28,Posted: 31 Jul 2023,None,"Naushad Khan , Himayatullah Khan , Muhammad Zulfiqar , Inayatullah Jan , Malik Muhammad Shafi , Shah Zad , Muhammad Adnan , Absar Ul Hassan , Fida Muhammad , Mahfooz Durani , Noor Ahmad , Shah Fahad and Mahnoor Naushad ","University of Agriculture, Peshawar - Institute of Development Studies, Institute of Development Studies (IDS), The University of Agriculture, Peshawer-Pakistan - Institute of Development Studies, University of Agriculture Peshawar, University of Agriculture, Peshawar - Institute of Development Studies, Independent, University of Agriculture, Peshawar - Institute of Development Studies, University of Agriculture, Peshawar - Institute of Development Studies, University of Agriculture, Peshawar - Institute of Development Studies, University of Agriculture, Peshawar - Institute of Development Studies, University of Agriculture, Peshawar - Institute of Development Studies, University of Agriculture, Peshawar and University of Agriculture, Peshawar",7,"Keywords: Analysis, Down Falling, Causes, Pakistan, Economy"
'election law',https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4531828,4531828, Carceral Socialization as Voter Suppression ,"Michigan Journal of Race & Law, Vol. 28, No. 1, 2023",74,Posted: 16 Aug 2023,None,Danieli Evans ,Seattle University School of Law,5,"Keywords: criminal system, voting rights, citizenship, policing, constitutional law, law and social science"
'election law',https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4529772,4529772, Referendum Turnout: Compulsory or Voluntary? ,King' Law Journal (unrefereed version of symposium article Forthcoming),15,Posted: 03 Aug 2023,None,Graeme D. Orr ,The University of Queensland - T.C. Beirne School of Law,4,"Keywords: Referendums, Election Law, Compulsory Voting, Constitutional Reform"
'election law',https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4531054,4531054, McConnell's Gamble ,"Louisiana Law Review, Vol. 83, No. 2, 2023",67,Posted: 07 Aug 2023,None,Peter Nemerovski ,UNC School of Law,2,"Keywords: Supreme Court, Legal History, U.S. Senate, Law and Politics"
'election law',https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4522655,4522655, A Critical Evaluation on Impact of COVID-19 on Democracy and Democratic Values ,none listed,,Posted: 29 Jul 2023,Last Revised: 31 Jul 2023,Mohammad Mamunur Rashid ,Eastern University,none,"Keywords: COVID-19, Democratic Values, Democratic Political Systems, Liberty, Trust, Autocracy."
'election law',https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4251513,4251513, It’s My Party: The Enforceability of Political Party Rules ,(2022) 47(3) Alternative Law Journal,,Posted: 03 Aug 2023,None,Graeme D. Orr ,The University of Queensland - T.C. Beirne School of Law,none,"Keywords: Election law, political parties, associations and the law, justiciability"
'election law',https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4533782,4533782," Nasarawa State Governorship as a Case Study of Alleged Manipulation, Criminality and Religionisation in 2023 Nigerian General Elections ",none listed,28,Posted: 17 Aug 2023,None,Anthony Aladekomo ,Elizade University,2,"Keywords: 2023 Nigerian general elections, religionisation of elections, election rigging, corrupt judiciary  ..."
'election law',https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4521842,4521842, Systematic Stewardship: It’s Up to the Shareholders - A Response to Profs. Kahan and Rock ,Columbia Law and Economics Working Paper No. 666,,Posted: 26 Jul 2023,None,Jeffrey N. Gordon ,Columbia Law School,none,"Keywords: corporate governance, systematic stewardship, systematic risk, single-firm focus, climate change"
search term,SSRN Abstract URL,SSRN Article id,Article Title,Article Citation,Number of pages,Posted date,Last Revised,Authors,Affiliations,SSRN Downloads,Keywords
'felon disenfranchisement',https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4524687,4524687, Felony Disenfranchisement and Voting Rights Restoration in the States ,"Nevada Law Journal, Vol. 22, No. 3, 2022",38,Posted: 01 Aug 2023,None,Manoj Mate ,DePaul University - College of Law,19,"Keywords: Felony Disenfranchisement, Voting Rights, Election Law, Constitutional Law"
